"filename", "language", "TypeScript", "XML", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Dashboard/Progress.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Dashboard/SideBarList.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Dashboard/Workout.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 6, 46
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Dashboard/WorkoutLog.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Dashboard/WorkoutLogTable.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 5, 85
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Dashboard/WorkoutTable.tsx", "TypeScript JSX", 0, 0, 181, 0, 0, 0, 0, 0, 0, 12, 10, 203
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Dashboard/menuItems.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 2, 83
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/FirstSection/Category.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/FirstSection/CategoryCard.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/FourthSection/FlipCard.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 5, 37
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/FourthSection/FourthSection.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/FourthSection/FourthSectionCard.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/Home.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 3, 42
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/SecondSection/CategoryGrid.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/ThirdSection/Section.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Home/ThirdSection/SectionCard.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 3, 21
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Payment/PaymentCancel.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
